time_step,count,ACC_action,MAE_delta_T,MAE_start_x,MAE_start_y
0,145783.0,0.6555,2.2842,7.1308,8.3429
1,122737.0,0.538,1.8563,11.6667,13.0976
2,89542.0,0.5272,1.6555,14.4928,17.4782
3,71157.0,0.535,1.5548,15.7281,21.0447
4,60834.0,0.5071,1.5556,16.9199,23.7721
5,53234.0,0.4931,1.5314,18.088,25.5221
6,46638.0,0.4695,1.5469,18.9907,26.8613
7,40987.0,0.467,1.545,19.7304,27.684
8,36223.0,0.4475,1.522,20.393,28.2966
9,31960.0,0.4487,1.5364,20.7859,28.3922
10,28197.0,0.4326,1.5324,21.1944,28.3919
11,24746.0,0.4398,1.5252,21.4175,28.0479
12,21971.0,0.4217,1.5099,21.7554,27.9212
13,19372.0,0.4285,1.496,21.9566,27.4107
14,17215.0,0.4147,1.497,22.1686,27.191
15,15273.0,0.4155,1.4499,22.3205,26.8461
16,13573.0,0.4014,1.4547,22.4182,26.8006
17,11979.0,0.4174,1.4198,22.4565,26.5784
18,10613.0,0.4106,1.4228,22.4729,26.4309
19,9411.0,0.4189,1.4091,22.4967,26.2744
20,8350.0,0.4074,1.3685,22.496,26.322
21,7365.0,0.4166,1.3649,22.5326,26.2109
22,6501.0,0.4022,1.3672,22.5465,26.1739
23,5706.0,0.4073,1.3511,22.6423,25.8224
24,5026.0,0.3936,1.3134,22.7064,25.7198
25,4398.0,0.0816,1.4375,22.7155,25.2568
Overall,34953.5,0.4384,1.5195,20.0086,24.9189
